日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,812.00,812.00,812.00,812.00,25100,20381200
2017-06-20,14:55,814.00,814.00,812.00,812.00,23000,18700600
2017-06-20,14:50,814.00,814.00,814.00,814.00,9600,7814400
2017-06-20,14:45,814.00,814.00,814.00,814.00,4200,3418800
2017-06-20,14:40,,,,,0,0
2017-06-20,14:35,814.00,814.00,813.00,813.00,11600,9433900
2017-06-20,14:30,814.00,814.00,814.00,814.00,6400,5209600
2017-06-20,14:25,813.00,814.00,813.00,814.00,10900,8865400
2017-06-20,14:20,813.00,813.00,813.00,813.00,300,243900
2017-06-20,14:15,813.00,813.00,813.00,813.00,700,569100
2017-06-20,14:10,813.00,813.00,813.00,813.00,600,487800
2017-06-20,14:05,813.00,813.00,813.00,813.00,100,81300
2017-06-20,14:00,813.00,813.00,813.00,813.00,5300,4308900
2017-06-20,13:55,814.00,814.00,813.00,813.00,200,162700
2017-06-20,13:50,813.00,813.00,813.00,813.00,2800,2276400
2017-06-20,13:45,813.00,813.00,813.00,813.00,300,243900
2017-06-20,13:40,813.00,814.00,813.00,814.00,900,731800
2017-06-20,13:35,813.00,813.00,813.00,813.00,3700,3008100
2017-06-20,13:30,,,,,0,0
2017-06-20,13:25,814.00,814.00,814.00,814.00,2300,1872200
2017-06-20,13:20,814.00,814.00,814.00,814.00,6300,5128200
2017-06-20,13:15,814.00,814.00,814.00,814.00,3400,2767600
2017-06-20,13:10,814.00,814.00,814.00,814.00,300,244200
2017-06-20,13:05,816.00,816.00,815.00,815.00,4600,3749100
2017-06-20,13:00,817.00,817.00,816.00,816.00,2700,2203300
2017-06-20,12:55,816.00,817.00,816.00,817.00,4000,3264300
2017-06-20,12:50,817.00,817.00,816.00,816.00,1200,979800
2017-06-20,12:45,816.00,817.00,816.00,816.00,2500,2040200
2017-06-20,12:40,815.00,816.00,815.00,815.00,8100,6606500
2017-06-20,12:35,815.00,815.00,815.00,815.00,700,570500
2017-06-20,12:30,815.00,815.00,813.00,815.00,4900,3992500
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,815.00,815.00,815.00,815.00,300,244500
2017-06-20,11:25,815.00,815.00,814.00,814.00,1500,1222100
2017-06-20,11:20,814.00,815.00,813.00,815.00,1900,1546900
2017-06-20,11:15,813.00,815.00,813.00,815.00,2700,2197100
2017-06-20,11:10,812.00,813.00,812.00,813.00,3800,3085900
2017-06-20,11:05,810.00,812.00,810.00,811.00,8600,6970800
2017-06-20,11:00,810.00,810.00,810.00,810.00,400,324000
2017-06-20,10:55,809.00,809.00,809.00,809.00,1700,1375300
2017-06-20,10:50,810.00,810.00,809.00,809.00,300,242900
2017-06-20,10:45,809.00,809.00,809.00,809.00,2300,1860700
2017-06-20,10:40,808.00,809.00,806.00,809.00,17000,13735700
2017-06-20,10:35,808.00,808.00,808.00,808.00,100,80800
2017-06-20,10:30,807.00,808.00,807.00,808.00,4100,3308800
2017-06-20,10:25,807.00,807.00,807.00,807.00,400,322800
2017-06-20,10:20,806.00,806.00,806.00,806.00,500,403000
2017-06-20,10:15,806.00,807.00,806.00,806.00,3200,2579300
2017-06-20,10:10,805.00,805.00,805.00,805.00,2000,1610000
2017-06-20,10:05,804.00,805.00,804.00,805.00,1200,964900
2017-06-20,10:00,804.00,804.00,804.00,804.00,200,160800
2017-06-20,09:55,804.00,804.00,803.00,804.00,4000,3212800
2017-06-20,09:50,804.00,804.00,804.00,804.00,1100,884400
2017-06-20,09:45,803.00,805.00,803.00,804.00,2900,2331600
2017-06-20,09:40,803.00,803.00,802.00,802.00,2500,2005200
2017-06-20,09:35,802.00,803.00,802.00,803.00,2300,1845700
2017-06-20,09:30,801.00,801.00,801.00,801.00,300,240300
2017-06-20,09:25,800.00,801.00,799.00,801.00,3700,2958400
2017-06-20,09:20,798.00,801.00,798.00,801.00,8300,6636300
2017-06-20,09:15,793.00,798.00,793.00,798.00,58200,46281500
2017-06-20,09:10,793.00,793.00,791.00,793.00,7000,5547300
2017-06-20,09:05,789.00,792.00,788.00,792.00,8500,6716700
2017-06-20,09:00,788.00,789.00,787.00,789.00,6300,4965200
